#{"t_start": 1778264311.5712066, "env_id": "None"}
r,l,t
0.0,200,16.947132
0.0,200,20.962639
0.0,200,24.884746
0.0,200,28.806108
0.0,200,32.777635
0.0,200,36.743459
0.0,200,40.747591
0.0,200,44.682089
0.0,200,48.649255
0.0,200,52.634689
0.0,200,57.56298
0.0,200,61.490063
0.0,200,65.426092
0.0,200,69.375686
0.0,200,73.381315
0.0,200,77.370306
0.0,200,81.3403
0.0,200,85.40169
0.0,200,89.445458
0.0,200,93.38648
0.0,200,98.1382
0.0,200,102.14404
0.0,200,106.152832
0.0,200,110.119066
0.0,200,114.072493
0.0,200,135.178851
0.0,200,139.195946
0.0,200,143.154768
0.0,200,147.210646
0.0,200,151.196535
0.0,200,155.965532
0.0,200,159.914281
0.0,200,163.939594
0.0,200,167.86261
0.0,200,171.90594
0.0,200,175.894673
0.0,200,179.85821
0.0,200,183.853528
0.0,200,187.932635
0.0,200,192.02497
0.0,200,196.85133
0.0,200,200.699505
0.0,200,204.539876
0.0,200,208.48439
0.0,200,212.600906
0.0,200,216.67136
0.0,200,220.658159
0.0,200,224.612765
0.0,200,228.654955
0.0,200,232.666574
0.0,200,255.109998
